number,timestamp,src_ip,dst_ip,protocol,src_port,dst_port,seq,length
291,2018-12-22 01:09:34.597932,104.248.160.24,192.168.1.196,TCP,80,59938,69505,1514
292,2018-12-22 01:09:34.598174,104.248.160.24,192.168.1.196,TCP,80,59938,70953,1514
293,2018-12-22 01:09:34.598429,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
294,2018-12-22 01:09:34.598681,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
295,2018-12-22 01:09:34.609672,104.248.160.24,192.168.1.196,TCP,80,59938,72401,1514
296,2018-12-22 01:09:34.609922,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
297,2018-12-22 01:09:34.628158,104.248.160.24,192.168.1.196,TCP,80,59938,73849,1514
298,2018-12-22 01:09:34.629664,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
299,2018-12-22 01:09:34.638401,104.248.160.24,192.168.1.196,TCP,80,59938,75297,1514
300,2018-12-22 01:09:34.639903,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
301,2018-12-22 01:09:34.645901,104.248.160.24,192.168.1.196,TCP,80,59938,76745,1514
302,2018-12-22 01:09:34.647402,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
303,2018-12-22 01:09:34.658145,104.248.160.24,192.168.1.196,TCP,80,59938,78193,1514
304,2018-12-22 01:09:34.659644,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
305,2018-12-22 01:09:34.670140,104.248.160.24,192.168.1.196,TCP,80,59938,79641,1514
306,2018-12-22 01:09:34.671636,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
307,2018-12-22 01:09:34.682382,104.248.160.24,192.168.1.196,TCP,80,59938,81089,1514
308,2018-12-22 01:09:34.683878,192.168.1.196,104.248.160.24,TCP,59938,80,150,86
309,2018-12-22 01:09:34.694379,104.248.160.24,192.168.1.196,TCP,80,59938,63713,1514
310,2018-12-22 01:09:34.696127,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
311,2018-12-22 01:09:34.709115,104.248.160.24,192.168.1.196,TCP,80,59938,82537,1514
312,2018-12-22 01:09:34.710364,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
313,2018-12-22 01:09:34.734345,104.248.160.24,192.168.1.196,TCP,80,59938,83985,1514
314,2018-12-22 01:09:34.734596,104.248.160.24,192.168.1.196,TCP,80,59938,85433,1514
315,2018-12-22 01:09:34.735098,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
316,2018-12-22 01:09:34.735348,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
317,2018-12-22 01:09:34.745850,104.248.160.24,192.168.1.196,TCP,80,59938,86881,1514
318,2018-12-22 01:09:34.746595,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
319,2018-12-22 01:09:34.758082,104.248.160.24,192.168.1.196,TCP,80,59938,88329,1514
320,2018-12-22 01:09:34.758836,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
321,2018-12-22 01:09:34.770084,104.248.160.24,192.168.1.196,TCP,80,59938,89777,1514
322,2018-12-22 01:09:34.770831,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
323,2018-12-22 01:09:34.782319,104.248.160.24,192.168.1.196,TCP,80,59938,55025,1514
324,2018-12-22 01:09:34.783071,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
325,2018-12-22 01:09:34.794567,104.248.160.24,192.168.1.196,TCP,80,59938,91225,1514
326,2018-12-22 01:09:34.795067,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
327,2018-12-22 01:09:34.820052,104.248.160.24,192.168.1.196,TCP,80,59938,92673,1514
328,2018-12-22 01:09:34.820296,104.248.160.24,192.168.1.196,TCP,80,59938,94121,1514
329,2018-12-22 01:09:34.820552,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
330,2018-12-22 01:09:34.820801,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
331,2018-12-22 01:09:34.845034,104.248.160.24,192.168.1.196,TCP,80,59938,95569,1514
332,2018-12-22 01:09:34.845288,104.248.160.24,192.168.1.196,TCP,80,59938,97017,1514
333,2018-12-22 01:09:34.846538,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
334,2018-12-22 01:09:34.846786,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
335,2018-12-22 01:09:34.856781,104.248.160.24,192.168.1.196,TCP,80,59938,98465,1514
336,2018-12-22 01:09:34.858274,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
337,2018-12-22 01:09:34.868774,104.248.160.24,192.168.1.196,TCP,80,59938,99913,1514
338,2018-12-22 01:09:34.870271,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
339,2018-12-22 01:09:34.899003,104.248.160.24,192.168.1.196,TCP,80,59938,101361,1514
340,2018-12-22 01:09:34.899008,104.248.160.24,192.168.1.196,TCP,80,59938,102809,1514
341,2018-12-22 01:09:34.899272,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
342,2018-12-22 01:09:34.899750,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
343,2018-12-22 01:09:34.910500,104.248.160.24,192.168.1.196,TCP,80,59938,104257,1514
344,2018-12-22 01:09:34.910751,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
345,2018-12-22 01:09:34.941735,104.248.160.24,192.168.1.196,TCP,80,59938,105705,1514
346,2018-12-22 01:09:34.941977,104.248.160.24,192.168.1.196,TCP,80,59938,107153,1514
347,2018-12-22 01:09:34.942236,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
348,2018-12-22 01:09:34.942489,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
349,2018-12-22 01:09:34.955725,104.248.160.24,192.168.1.196,TCP,80,59938,108601,1514
350,2018-12-22 01:09:34.956222,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
351,2018-12-22 01:09:34.976964,104.248.160.24,192.168.1.196,TCP,80,59938,110049,1514
352,2018-12-22 01:09:34.977456,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
353,2018-12-22 01:09:34.989955,104.248.160.24,192.168.1.196,TCP,80,59938,111497,1514
354,2018-12-22 01:09:34.990207,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
355,2018-12-22 01:09:34.993952,104.248.160.24,192.168.1.196,TCP,80,59938,112945,1514
356,2018-12-22 01:09:34.994450,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
357,2018-12-22 01:09:35.001698,104.248.160.24,192.168.1.196,TCP,80,59938,114393,1514
358,2018-12-22 01:09:35.001951,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
359,2018-12-22 01:09:35.030677,104.248.160.24,192.168.1.196,TCP,80,59938,117289,1514
360,2018-12-22 01:09:35.030926,104.248.160.24,192.168.1.196,TCP,80,59938,118737,773
361,2018-12-22 01:09:35.031176,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
362,2018-12-22 01:09:35.031425,192.168.1.196,104.248.160.24,TCP,59938,80,150,78
363,2018-12-22 01:09:35.367986,104.248.160.24,192.168.1.196,TCP,80,59938,115841,1514
364,2018-12-22 01:09:35.368490,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
365,2018-12-22 01:09:35.368986,192.168.1.196,104.248.160.24,TCP,59938,80,150,66
366,2018-12-22 01:09:35.390221,104.248.160.24,192.168.1.196,TCP,80,59938,119445,66
367,2018-12-22 01:09:35.406711,192.168.1.196,104.248.160.24,TCP,59940,80,0,74
368,2018-12-22 01:09:36.441378,192.168.1.196,104.248.160.24,TCP,59940,80,0,74
369,2018-12-22 01:09:38.521440,192.168.1.196,104.248.160.24,TCP,59940,80,0,74
370,2018-12-22 01:09:42.606357,192.168.1.196,104.248.160.24,TCP,59940,80,0,74
371,2018-12-22 01:09:51.241440,192.168.1.196,104.248.160.24,TCP,59940,80,0,74
372,2018-12-22 01:10:07.881692,192.168.1.196,104.248.160.24,TCP,59940,80,0,74
373,2018-12-22 01:10:40.521595,192.168.1.196,104.248.160.24,TCP,59940,80,0,74
374,2018-12-22 01:11:48.721943,192.168.1.196,104.248.160.24,TCP,59942,80,0,74
375,2018-12-22 01:11:49.803573,192.168.1.196,104.248.160.24,TCP,59942,80,0,74
376,2018-12-22 01:11:51.881885,192.168.1.196,104.248.160.24,TCP,59942,80,0,74
377,2018-12-22 01:11:55.961309,192.168.1.196,104.248.160.24,TCP,59942,80,0,74
378,2018-12-22 01:11:55.983296,104.248.160.24,192.168.1.196,TCP,80,59942,0,74
379,2018-12-22 01:11:55.983550,192.168.1.196,104.248.160.24,TCP,59942,80,1,66
380,2018-12-22 01:11:55.983795,192.168.1.196,104.248.160.24,TCP,59942,80,1,218
381,2018-12-22 01:11:56.028265,104.248.160.24,192.168.1.196,TCP,80,59942,1,66
382,2018-12-22 01:11:56.028524,104.248.160.24,192.168.1.196,TCP,80,59942,1,1514
383,2018-12-22 01:11:56.028771,104.248.160.24,192.168.1.196,TCP,80,59942,1449,1514
384,2018-12-22 01:11:56.029022,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
385,2018-12-22 01:11:56.029264,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
386,2018-12-22 01:11:56.040265,104.248.160.24,192.168.1.196,TCP,80,59942,2897,1514
387,2018-12-22 01:11:56.040768,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
388,2018-12-22 01:11:56.052526,104.248.160.24,192.168.1.196,TCP,80,59942,4345,1514
389,2018-12-22 01:11:56.053001,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
390,2018-12-22 01:11:56.064997,104.248.160.24,192.168.1.196,TCP,80,59942,7241,1514
391,2018-12-22 01:11:56.065494,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
392,2018-12-22 01:11:56.076741,104.248.160.24,192.168.1.196,TCP,80,59942,5793,1514
393,2018-12-22 01:11:56.077238,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
394,2018-12-22 01:11:56.088980,104.248.160.24,192.168.1.196,TCP,80,59942,8689,1514
395,2018-12-22 01:11:56.089480,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
396,2018-12-22 01:11:56.101230,104.248.160.24,192.168.1.196,TCP,80,59942,10137,1514
397,2018-12-22 01:11:56.101481,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
398,2018-12-22 01:11:56.113219,104.248.160.24,192.168.1.196,TCP,80,59942,11585,1514
399,2018-12-22 01:11:56.113722,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
400,2018-12-22 01:11:56.125212,104.248.160.24,192.168.1.196,TCP,80,59942,14481,1514
401,2018-12-22 01:11:56.125714,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
402,2018-12-22 01:11:56.146693,104.248.160.24,192.168.1.196,TCP,80,59942,15929,1514
403,2018-12-22 01:11:56.147951,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
404,2018-12-22 01:11:56.159953,104.248.160.24,192.168.1.196,TCP,80,59942,17377,1514
405,2018-12-22 01:11:56.161202,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
406,2018-12-22 01:11:56.161950,104.248.160.24,192.168.1.196,TCP,80,59942,18825,1514
407,2018-12-22 01:11:56.163188,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
408,2018-12-22 01:11:56.173684,104.248.160.24,192.168.1.196,TCP,80,59942,20273,1514
409,2018-12-22 01:11:56.174931,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
410,2018-12-22 01:11:56.186187,104.248.160.24,192.168.1.196,TCP,80,59942,23169,1514
411,2018-12-22 01:11:56.187424,192.168.1.196,104.248.160.24,TCP,59942,80,153,86
412,2018-12-22 01:11:56.197925,104.248.160.24,192.168.1.196,TCP,80,59942,26065,1514
413,2018-12-22 01:11:56.199172,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
414,2018-12-22 01:11:56.210165,104.248.160.24,192.168.1.196,TCP,80,59942,27513,1514
415,2018-12-22 01:11:56.211421,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
416,2018-12-22 01:11:56.229163,104.248.160.24,192.168.1.196,TCP,80,59942,28961,1514
417,2018-12-22 01:11:56.231402,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
418,2018-12-22 01:11:56.238653,104.248.160.24,192.168.1.196,TCP,80,59942,33305,1514
419,2018-12-22 01:11:56.240903,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
420,2018-12-22 01:11:56.249915,104.248.160.24,192.168.1.196,TCP,80,59942,34753,1514
421,2018-12-22 01:11:56.251900,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
422,2018-12-22 01:11:56.258640,104.248.160.24,192.168.1.196,TCP,80,59942,37649,1514
423,2018-12-22 01:11:56.260389,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
424,2018-12-22 01:11:56.270878,104.248.160.24,192.168.1.196,TCP,80,59942,40545,1514
425,2018-12-22 01:11:56.272633,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
426,2018-12-22 01:11:56.282876,104.248.160.24,192.168.1.196,TCP,80,59942,13033,1514
427,2018-12-22 01:11:56.284870,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
428,2018-12-22 01:11:56.311597,104.248.160.24,192.168.1.196,TCP,80,59942,41993,1514
429,2018-12-22 01:11:56.311859,104.248.160.24,192.168.1.196,TCP,80,59942,43441,1514
430,2018-12-22 01:11:56.314606,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
431,2018-12-22 01:11:56.314856,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
432,2018-12-22 01:11:56.323103,104.248.160.24,192.168.1.196,TCP,80,59942,21721,1514
433,2018-12-22 01:11:56.325859,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
434,2018-12-22 01:11:56.339089,104.248.160.24,192.168.1.196,TCP,80,59942,24617,1514
435,2018-12-22 01:11:56.341845,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
436,2018-12-22 01:11:56.347336,104.248.160.24,192.168.1.196,TCP,80,59942,30409,1514
437,2018-12-22 01:11:56.350095,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
438,2018-12-22 01:11:56.359328,104.248.160.24,192.168.1.196,TCP,80,59942,44889,1514
439,2018-12-22 01:11:56.362082,192.168.1.196,104.248.160.24,TCP,59942,80,153,94
440,2018-12-22 01:11:56.371574,104.248.160.24,192.168.1.196,TCP,80,59942,31857,1514
441,2018-12-22 01:11:56.374578,192.168.1.196,104.248.160.24,TCP,59942,80,153,86
442,2018-12-22 01:11:56.390062,104.248.160.24,192.168.1.196,TCP,80,59942,46337,1514
443,2018-12-22 01:11:56.393811,192.168.1.196,104.248.160.24,TCP,59942,80,153,86
444,2018-12-22 01:11:56.402804,104.248.160.24,192.168.1.196,TCP,80,59942,36201,1514
445,2018-12-22 01:11:56.406549,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
446,2018-12-22 01:11:56.408055,104.248.160.24,192.168.1.196,TCP,80,59942,47785,1514
447,2018-12-22 01:11:56.411551,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
448,2018-12-22 01:11:56.420048,104.248.160.24,192.168.1.196,TCP,80,59942,50681,1514
449,2018-12-22 01:11:56.423792,192.168.1.196,104.248.160.24,TCP,59942,80,153,86
450,2018-12-22 01:11:56.432291,104.248.160.24,192.168.1.196,TCP,80,59942,39097,1514
451,2018-12-22 01:11:56.435788,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
452,2018-12-22 01:11:56.444285,104.248.160.24,192.168.1.196,TCP,80,59942,52129,1514
453,2018-12-22 01:11:56.448039,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
454,2018-12-22 01:11:56.456278,104.248.160.24,192.168.1.196,TCP,80,59942,53577,1514
455,2018-12-22 01:11:56.460024,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
456,2018-12-22 01:11:56.471022,104.248.160.24,192.168.1.196,TCP,80,59942,55025,1514
457,2018-12-22 01:11:56.474516,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
458,2018-12-22 01:11:56.480764,104.248.160.24,192.168.1.196,TCP,80,59942,56473,1514
459,2018-12-22 01:11:56.484255,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
460,2018-12-22 01:11:56.492756,104.248.160.24,192.168.1.196,TCP,80,59942,57921,1514
461,2018-12-22 01:11:56.496251,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
462,2018-12-22 01:11:56.522490,104.248.160.24,192.168.1.196,TCP,80,59942,59369,1514
463,2018-12-22 01:11:56.522990,104.248.160.24,192.168.1.196,TCP,80,59942,60817,1514
464,2018-12-22 01:11:56.527231,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
465,2018-12-22 01:11:56.527241,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
466,2018-12-22 01:11:56.533981,104.248.160.24,192.168.1.196,TCP,80,59942,62265,1514
467,2018-12-22 01:11:56.538483,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
468,2018-12-22 01:11:56.546231,104.248.160.24,192.168.1.196,TCP,80,59942,63713,1514
469,2018-12-22 01:11:56.550726,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
470,2018-12-22 01:11:56.558473,104.248.160.24,192.168.1.196,TCP,80,59942,65161,1514
471,2018-12-22 01:11:56.562714,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
472,2018-12-22 01:11:56.574715,104.248.160.24,192.168.1.196,TCP,80,59942,66609,1514
473,2018-12-22 01:11:56.578951,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
474,2018-12-22 01:11:56.582701,104.248.160.24,192.168.1.196,TCP,80,59942,68057,1514
475,2018-12-22 01:11:56.586947,192.168.1.196,104.248.160.24,TCP,59942,80,153,78
476,2018-12-22 01:11:56.594695,104.248.160.24,192.168.1.196,TCP,80,59942,49233,1514
477,2018-12-22 01:11:56.598943,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
478,2018-12-22 01:11:56.606937,104.248.160.24,192.168.1.196,TCP,80,59942,69505,1514
479,2018-12-22 01:11:56.611185,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
480,2018-12-22 01:11:56.619185,104.248.160.24,192.168.1.196,TCP,80,59942,70953,1514
481,2018-12-22 01:11:56.623184,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
482,2018-12-22 01:11:56.631173,104.248.160.24,192.168.1.196,TCP,80,59942,72401,1514
483,2018-12-22 01:11:56.635430,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
484,2018-12-22 01:11:56.643420,104.248.160.24,192.168.1.196,TCP,80,59942,73849,1514
485,2018-12-22 01:11:56.647420,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
486,2018-12-22 01:11:56.655413,104.248.160.24,192.168.1.196,TCP,80,59942,75297,1514
487,2018-12-22 01:11:56.659413,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
488,2018-12-22 01:11:56.667403,104.248.160.24,192.168.1.196,TCP,80,59942,76745,1514
489,2018-12-22 01:11:56.671408,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
490,2018-12-22 01:11:56.679645,104.248.160.24,192.168.1.196,TCP,80,59942,78193,1514
491,2018-12-22 01:11:56.683649,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
492,2018-12-22 01:11:56.691638,104.248.160.24,192.168.1.196,TCP,80,59942,79641,1514
493,2018-12-22 01:11:56.695643,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
494,2018-12-22 01:11:56.703882,104.248.160.24,192.168.1.196,TCP,80,59942,81089,1514
495,2018-12-22 01:11:56.707885,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
496,2018-12-22 01:11:56.715882,104.248.160.24,192.168.1.196,TCP,80,59942,82537,649
497,2018-12-22 01:11:56.719879,192.168.1.196,104.248.160.24,TCP,59942,80,153,66
498,2018-12-22 01:11:56.746861,104.248.160.24,192.168.1.196,TCP,80,59942,83121,66
499,2018-12-22 01:11:56.757850,192.168.1.196,104.248.160.24,TCP,59944,80,0,74
500,2018-12-22 01:11:57.811507,192.168.1.196,104.248.160.24,TCP,59944,80,0,74
501,2018-12-22 01:11:59.886074,192.168.1.196,104.248.160.24,TCP,59944,80,0,74
502,2018-12-22 01:12:03.961249,192.168.1.196,104.248.160.24,TCP,59944,80,0,74
503,2018-12-22 01:12:03.982483,104.248.160.24,192.168.1.196,TCP,80,59944,0,74
504,2018-12-22 01:12:03.982983,192.168.1.196,104.248.160.24,TCP,59944,80,1,66
505,2018-12-22 01:12:03.983232,192.168.1.196,104.248.160.24,TCP,59944,80,1,215
506,2018-12-22 01:12:04.022461,104.248.160.24,192.168.1.196,TCP,80,59944,1,66
507,2018-12-22 01:12:04.022711,104.248.160.24,192.168.1.196,TCP,80,59944,1,1514
508,2018-12-22 01:12:04.022956,104.248.160.24,192.168.1.196,TCP,80,59944,1449,1514
509,2018-12-22 01:12:04.023215,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
510,2018-12-22 01:12:04.023463,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
511,2018-12-22 01:12:04.035709,104.248.160.24,192.168.1.196,TCP,80,59944,2897,1514
512,2018-12-22 01:12:04.035952,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
513,2018-12-22 01:12:04.046695,104.248.160.24,192.168.1.196,TCP,80,59944,5793,1514
514,2018-12-22 01:12:04.047198,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
515,2018-12-22 01:12:04.058943,104.248.160.24,192.168.1.196,TCP,80,59944,4345,1514
516,2018-12-22 01:12:04.059194,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
517,2018-12-22 01:12:04.070930,104.248.160.24,192.168.1.196,TCP,80,59944,7241,1514
518,2018-12-22 01:12:04.071428,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
519,2018-12-22 01:12:04.082927,104.248.160.24,192.168.1.196,TCP,80,59944,8689,1514
520,2018-12-22 01:12:04.083421,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
521,2018-12-22 01:12:04.094922,104.248.160.24,192.168.1.196,TCP,80,59944,11585,1514
522,2018-12-22 01:12:04.095419,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
523,2018-12-22 01:12:04.107162,104.248.160.24,192.168.1.196,TCP,80,59944,10137,1514
524,2018-12-22 01:12:04.107658,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
525,2018-12-22 01:12:04.119156,104.248.160.24,192.168.1.196,TCP,80,59944,14481,1514
526,2018-12-22 01:12:04.119651,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
527,2018-12-22 01:12:04.131388,104.248.160.24,192.168.1.196,TCP,80,59944,15929,1514
528,2018-12-22 01:12:04.131648,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
529,2018-12-22 01:12:04.143393,104.248.160.24,192.168.1.196,TCP,80,59944,17377,1514
530,2018-12-22 01:12:04.143648,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
531,2018-12-22 01:12:04.155383,104.248.160.24,192.168.1.196,TCP,80,59944,18825,1514
532,2018-12-22 01:12:04.155885,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
533,2018-12-22 01:12:04.167631,104.248.160.24,192.168.1.196,TCP,80,59944,20273,1514
534,2018-12-22 01:12:04.167882,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
535,2018-12-22 01:12:04.179618,104.248.160.24,192.168.1.196,TCP,80,59944,21721,1514
536,2018-12-22 01:12:04.180120,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
537,2018-12-22 01:12:04.191613,104.248.160.24,192.168.1.196,TCP,80,59944,23169,1514
538,2018-12-22 01:12:04.192117,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
539,2018-12-22 01:12:04.204103,104.248.160.24,192.168.1.196,TCP,80,59944,24617,1514
540,2018-12-22 01:12:04.204603,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
541,2018-12-22 01:12:04.215849,104.248.160.24,192.168.1.196,TCP,80,59944,26065,1514
542,2018-12-22 01:12:04.216349,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
543,2018-12-22 01:12:04.228095,104.248.160.24,192.168.1.196,TCP,80,59944,27513,1514
544,2018-12-22 01:12:04.228346,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
545,2018-12-22 01:12:04.240088,104.248.160.24,192.168.1.196,TCP,80,59944,28961,1514
546,2018-12-22 01:12:04.240340,192.168.1.196,104.248.160.24,TCP,59944,80,150,78
547,2018-12-22 01:12:04.252333,104.248.160.24,192.168.1.196,TCP,80,59944,13033,1514
548,2018-12-22 01:12:04.252585,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
549,2018-12-22 01:12:04.270070,104.248.160.24,192.168.1.196,TCP,80,59944,30409,1514
550,2018-12-22 01:12:04.271814,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
551,2018-12-22 01:12:04.287060,104.248.160.24,192.168.1.196,TCP,80,59944,31857,1514
552,2018-12-22 01:12:04.287558,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
553,2018-12-22 01:12:04.288549,104.248.160.24,192.168.1.196,TCP,80,59944,33305,1514
554,2018-12-22 01:12:04.289062,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
555,2018-12-22 01:12:04.300804,104.248.160.24,192.168.1.196,TCP,80,59944,34753,1514
556,2018-12-22 01:12:04.301301,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
557,2018-12-22 01:12:04.317297,104.248.160.24,192.168.1.196,TCP,80,59944,36201,1514
558,2018-12-22 01:12:04.319042,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
559,2018-12-22 01:12:04.325040,104.248.160.24,192.168.1.196,TCP,80,59944,37649,1514
560,2018-12-22 01:12:04.326540,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
561,2018-12-22 01:12:04.337028,104.248.160.24,192.168.1.196,TCP,80,59944,39097,1514
562,2018-12-22 01:12:04.338779,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
563,2018-12-22 01:12:04.349277,104.248.160.24,192.168.1.196,TCP,80,59944,40545,1514
564,2018-12-22 01:12:04.350778,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
565,2018-12-22 01:12:04.361266,104.248.160.24,192.168.1.196,TCP,80,59944,41993,1514
566,2018-12-22 01:12:04.363016,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
567,2018-12-22 01:12:04.373512,104.248.160.24,192.168.1.196,TCP,80,59944,43441,1514
568,2018-12-22 01:12:04.375013,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
569,2018-12-22 01:12:04.385992,104.248.160.24,192.168.1.196,TCP,80,59944,44889,1514
570,2018-12-22 01:12:04.387498,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
571,2018-12-22 01:12:04.399250,104.248.160.24,192.168.1.196,TCP,80,59944,46337,1514
572,2018-12-22 01:12:04.401747,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
573,2018-12-22 01:12:04.410990,104.248.160.24,192.168.1.196,TCP,80,59944,47785,1514
574,2018-12-22 01:12:04.413483,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
575,2018-12-22 01:12:04.421729,104.248.160.24,192.168.1.196,TCP,80,59944,49233,1514
576,2018-12-22 01:12:04.424235,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
577,2018-12-22 01:12:04.433976,104.248.160.24,192.168.1.196,TCP,80,59944,50681,1514
578,2018-12-22 01:12:04.436475,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
579,2018-12-22 01:12:04.454720,104.248.160.24,192.168.1.196,TCP,80,59944,52129,1514
580,2018-12-22 01:12:04.456958,192.168.1.196,104.248.160.24,TCP,59944,80,150,66
581,2018-12-22 01:12:04.458464,104.248.160.24,192.168.1.196,TCP,80,59944,53577,1514
